address,id,isERC1155
0xbc4ca0eda7647a8ab7c2061c2e118a18a936f13d,6161,false
0xf17bb82b6e9cc0075ae308e406e5198ba7320545,3,false
0x60e4d786628fea6478f785a6d7e704777c86a7c6,5420,false
0x2c889a24af0d0ec6337db8feb589fa6368491146,110,false
0x2c889a24af0d0ec6337db8feb589fa6368491146,76,false
0x9e629d779be89783263d4c4a765c38eb3f18671c,468,false
0x9e629d779be89783263d4c4a765c38eb3f18671c,215,false
0x9e629d779be89783263d4c4a765c38eb3f18671c,104,false
0x9e629d779be89783263d4c4a765c38eb3f18671c,261,false
0xba30e5f9bb24caa003e9f2f0497ad287fdf95623,7177,false
0xb4e570232d3e55d2ee850047639dc74da83c7067,676,false
0xb4e570232d3e55d2ee850047639dc74da83c7067,303,false
0xb4e570232d3e55d2ee850047639dc74da83c7067,989,false
0xb4e570232d3e55d2ee850047639dc74da83c7067,988,false
0xb4e570232d3e55d2ee850047639dc74da83c7067,802,false
0xb4e570232d3e55d2ee850047639dc74da83c7067,738,false
0xb4e570232d3e55d2ee850047639dc74da83c7067,612,false
0xb4e570232d3e55d2ee850047639dc74da83c7067,575,false
0x32bb5a147b5371fd901aa4a72b7f82c58a87e36d,1103,false
0x32bb5a147b5371fd901aa4a72b7f82c58a87e36d,568,false
0x32bb5a147b5371fd901aa4a72b7f82c58a87e36d,437,false
0x32bb5a147b5371fd901aa4a72b7f82c58a87e36d,367,false
0x32bb5a147b5371fd901aa4a72b7f82c58a87e36d,638,false
0x32bb5a147b5371fd901aa4a72b7f82c58a87e36d,465,false
0x32bb5a147b5371fd901aa4a72b7f82c58a87e36d,470,false
0x32bb5a147b5371fd901aa4a72b7f82c58a87e36d,216,false
0x32bb5a147b5371fd901aa4a72b7f82c58a87e36d,79,false
0x32bb5a147b5371fd901aa4a72b7f82c58a87e36d,40,false
0x32bb5a147b5371fd901aa4a72b7f82c58a87e36d,537,false
0x32bb5a147b5371fd901aa4a72b7f82c58a87e36d,499,false
0x32bb5a147b5371fd901aa4a72b7f82c58a87e36d,358,false
0x32bb5a147b5371fd901aa4a72b7f82c58a87e36d,227,false
0x32bb5a147b5371fd901aa4a72b7f82c58a87e36d,83,false
0x32bb5a147b5371fd901aa4a72b7f82c58a87e36d,29,false
0x32bb5a147b5371fd901aa4a72b7f82c58a87e36d,60803,false
0x764aeebcf425d56800ef2c84f2578689415a2daa,10945,false
0x495f947276749ce646f68ac8c248420045cb7b5e,66075445032688988859229341194671037535804503065310441849644897888528662265857,true